Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Todd Gurley,0,0,0,0,0,0,20,108,0,0,0,3,39,1,0,0,0
2017,2,Todd Gurley,0,0,0,0,0,0,19,42,3,2,2,3,31,0,0,0,0
2017,3,Todd Gurley,0,0,0,0,0,0,23,105,1,0,0,5,51,0,0,0,1
2017,4,Todd Gurley,0,0,0,0,0,0,17,83,0,0,0,4,73,1,0,0,0
2017,5,Todd Gurley,0,0,0,0,0,0,22,77,3,0,0,4,36,0,0,0,0
2017,6,Todd Gurley,0,0,0,0,0,0,28,208,2,0,0,2,17,0,0,0,0
2017,7,Todd Gurley,0,0,0,0,0,0,15,63,2,0,0,4,23,1,0,0,0
2017,8,Todd Gurley,0,0,0,0,0,0,25,114,0,1,0,6,81,1,1,1,0
2017,9,Todd Gurley,0,0,0,0,0,0,13,68,1,0,0,6,11,0,0,0,0
2017,10,Todd Gurley,0,0,0,0,0,0,16,120,1,1,0,3,40,0,0,0,0
2017,11,Todd Gurley,0,0,0,0,0,0,12,55,0,0,0,3,39,0,0,0,0
2017,13,Todd Gurley,0,0,0,0,0,0,23,132,2,0,0,3,33,0,0,0,0
2017,14,Todd Gurley,0,0,0,0,0,0,11,28,0,0,0,3,30,0,0,0,0
2017,15,Todd Gurley,0,0,0,0,0,0,12,48,2,0,0,10,76,0,0,0,0
