Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Philip Rivers,51,424,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
2016,2,Philip Rivers,27,256,3,0,0,0,3,5,0,0,0,0,0,0,0,0,1
2016,3,Philip Rivers,30,226,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,Philip Rivers,39,250,3,1,1,1,4,-3,0,0,0,0,0,0,0,0,0
2016,5,Philip Rivers,27,339,2,0,0,0,3,-2,0,0,0,0,0,0,0,0,0
2016,6,Philip Rivers,20,207,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,Philip Rivers,26,306,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,9,Philip Rivers,26,228,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,10,Philip Rivers,26,223,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2016,11,Philip Rivers,43,401,2,2,0,0,1,-4,0,0,0,0,0,0,0,0,0
2016,12,Philip Rivers,29,259,3,0,0,0,1,3,0,0,0,0,0,0,0,0,1
2016,13,Philip Rivers,36,299,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2016,14,Philip Rivers,29,220,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0
2016,15,Philip Rivers,38,313,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,17,Philip Rivers,24,176,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
