Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,2,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
2017,3,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
2017,4,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
2017,5,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
2017,6,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
2017,7,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
2017,8,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
2017,9,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
2017,11,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2017,12,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,13,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2017,14,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
2017,17,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
