Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Julio Jones,0,0,0,0,0,0,1,11,0,0,0,10,169,0,0,0,0
2016,2,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
2016,3,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0
2016,4,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,9,173,0,0,0,0
2016,5,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
2016,6,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,10,144,0,0,0,0
2016,7,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,9,104,0,0,0,1
2016,9,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,7,121,1,0,0,0
2016,10,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,7,107,1,0,0,0
2016,11,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,6,118,1,0,0,0
2016,12,Julio Jones,0,0,0,0,0,0,1,1,0,0,0,11,147,0,0,0,1
2016,13,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2016,14,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,8,106,2,0,0,0
2016,15,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,6,82,1,0,0,0
2016,16,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
2016,17,Julio Jones,0,0,0,0,0,0,0,0,0,0,0,9,138,1,0,0,0
