Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2017,2,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0
2017,3,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2017,4,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0
2017,5,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,6,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0
2017,7,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,4,71,0,0,0,0
2017,8,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0
2017,9,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
2017,12,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0
2017,13,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2017,15,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2017,17,Kelvin Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
