Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
2016,2,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
2016,3,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,5,48,1,1,0,0
2016,4,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0
2016,5,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0
2016,6,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
2016,7,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2016,8,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
2016,9,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
2016,11,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,0
2016,12,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,7,63,0,0,0,0
2016,13,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
2016,14,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2016,15,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2016,16,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,9,122,2,0,0,0
2016,17,Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0
