Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0
2016,2,Mohamed Sanu,0,0,0,0,0,0,1,-4,0,0,0,2,19,0,0,0,0
2016,3,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,4,36,1,1,1,0
2016,4,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,6,111,0,1,0,0
2016,5,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
2016,6,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,2,46,1,0,0,0
2016,7,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2016,9,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
2016,10,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,1
2016,11,Mohamed Sanu,0,0,0,0,0,0,1,3,0,0,0,4,56,0,0,0,0
2016,12,Mohamed Sanu,0,0,0,0,0,0,1,3,0,0,0,4,74,0,0,0,0
2016,13,Mohamed Sanu,1,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
2016,14,Mohamed Sanu,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,1
2016,15,Mohamed Sanu,0,0,0,0,0,0,1,11,0,0,0,3,30,0,0,0,0
2016,16,Mohamed Sanu,0,0,0,0,0,0,2,29,0,0,0,5,81,1,0,0,0
2016,17,Mohamed Sanu,1,5,1,0,0,0,1,2,0,0,0,7,90,0,0,0,0
