Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Andy Dalton,28,243,2,1,0,0,2,8,0,0,0,0,0,0,0,0,0
2016,2,Andy Dalton,42,265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,Andy Dalton,46,352,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,Andy Dalton,41,337,3,1,1,0,2,13,0,0,0,0,0,0,0,0,0
2016,5,Andy Dalton,30,248,1,1,0,0,4,10,0,0,0,0,0,0,0,0,0
2016,6,Andy Dalton,42,229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,Andy Dalton,29,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,8,Andy Dalton,34,280,2,0,0,0,3,10,0,0,0,0,0,0,0,0,0
2016,10,Andy Dalton,20,153,1,2,0,0,1,8,0,0,0,0,0,0,0,0,0
2016,11,Andy Dalton,36,211,2,0,0,0,2,29,0,0,0,0,0,0,0,0,0
2016,12,Andy Dalton,17,100,1,1,0,0,2,21,0,0,0,0,0,0,0,0,0
