Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Antonio Brown,OAK,WR,6,237.44,
2,Tyreek Hill,KC,WR,12,216.32,
3,Davante Adams,GB,WR,11,214.1,
4,Julio Jones,ATL,WR,9,192.66,Foot | Questionable for Week 1
5,Michael Thomas,NO,WR,9,187.15,
6,Adam Thielen,MIN,WR,12,182.53,
7,Odell Beckham,CLE,WR,7,182.4,
8,Mike Evans,TB,WR,7,179.43,Hamstring | Questionable for Week 1
9,JuJu Smith-Schuster,PIT,WR,7,176.08,
10,Brandin Cooks,LAR,WR,9,175.45,
11,Stefon Diggs,MIN,WR,12,166.47,
12,A.J. Green,CIN,WR,9,161.96,Toe | Questionable for Week 1
13,Keenan Allen,LAC,WR,12,157.36,
14,Robert Woods,LAR,WR,9,155.94,
15,T.Y. Hilton,IND,WR,6,154.99,Ankle | Questionable for Week 1
16,Calvin Ridley,ATL,WR,9,150.52,
17,Cooper Kupp,LAR,WR,9,145.75,Knee - ACL | Questionable for Week 1
18,Alshon Jeffery,PHI,WR,10,137.48,Ribs | Questionable for Week 1
19,Tyler Lockett,SEA,WR,11,136.54,
20,Jarvis Landry,CLE,WR,7,136.53,
21,Will Fuller,HOU,WR,10,136.28,Knee - ACL | Questionable for Week 1
22,Amari Cooper,DAL,WR,8,135.57,
23,Dante Pettis,SF,WR,4,134.72,
24,Emmanuel Sanders,DEN,WR,10,134.6,Achilles | Questionable for Week 1
25,Julian Edelman,NE,WR,10,131.84,Thumb | Questionable for Week 1
26,DeSean Jackson,PHI,WR,10,129.84,
27,Larry Fitzgerald,ARI,WR,12,126.89,
28,Tyler Boyd,CIN,WR,9,126.69,
29,Kenny Golladay,DET,WR,5,125.46,Chest | Questionable for Week 1
30,Marvin Jones,DET,WR,5,123.45,Knee | Questionable for Week 1
31,Robert Foster,BUF,WR,6,122.17,Foot | Questionable for Week 1
32,Albert Wilson,MIA,WR,5,119.0,Hip - Labrum | Questionable for Week 1
33,Sammy Watkins,KC,WR,12,117.25,
34,Sterling Shepard,NYG,WR,11,115.86,
35,Mohamed Sanu,ATL,WR,9,115.76,
36,Golden Tate,NYG,WR,11,114.12,
37,Josh Gordon,NE,WR,10,111.91,
38,Chris Godwin,TB,WR,7,107.56,
39,Tre'Quan Smith,NO,WR,9,106.55,
40,Mike Williams,LAC,WR,12,106.06,
41,Robby Anderson,NYJ,WR,4,104.75,Undisclosed | Questionable for Week 1
42,Devin Funchess,IND,WR,6,103.83,
43,Christian Kirk,ARI,WR,12,103.31,
44,David Moore,SEA,WR,11,100.81,
45,D.J. Moore,CAR,WR,7,100.47,
46,Dede Westbrook,JAC,WR,10,100.11,
47,Anthony Miller,CHI,WR,6,99.57,Shoulder | Questionable for Week 1
48,Tyrell Williams,OAK,WR,6,99.17,
49,Chris Hogan,CAR,WR,7,98.5,
50,John Brown,BUF,WR,6,98.41,
51,Antonio Callaway,CLE,WR,7,98.35,
52,Adam Humphries,TEN,WR,11,98.27,
53,Allen Robinson,CHI,WR,6,98.13,
54,Dontrelle Inman,NE,WR,10,97.98,
55,Curtis Samuel,CAR,WR,7,97.48,
56,Kenny Stills,MIA,WR,5,96.66,Undisclosed | Questionable for Week 1
57,Nelson Agholor,PHI,WR,10,95.06,Leg | Questionable for Week 1
58,Courtland Sutton,DEN,WR,10,94.97,
59,Ted Ginn,NO,WR,9,94.66,
60,Jamison Crowder,NYJ,WR,4,91.26,
61,Marqise Lee,JAC,WR,10,90.64,Knee - ACL | Questionable for Week 1
62,Corey Davis,TEN,WR,11,90.52,
63,Donte Moncrief,PIT,WR,7,88.88,
64,Zay Jones,BUF,WR,6,88.19,Undisclosed | Questionable for Week 1
65,Marquise Goodwin,SF,WR,4,87.77,
66,Terrelle Pryor,JAC,WR,10,87.4,
67,Taylor Gabriel,CHI,WR,6,86.26,
68,Josh Reynolds,LAR,WR,9,85.95,
69,Keke Coutee,HOU,WR,10,84.11,
70,Marquez Valdes-Scantling,GB,WR,11,82.21,
71,Geronimo Allison,GB,WR,11,80.76,
72,Paul Richardson,WAS,WR,10,79.34,Shoulder | Questionable for Week 1
73,DaeSean Hamilton,DEN,WR,10,78.86,
74,DeVante Parker,MIA,WR,5,78.56,
75,Keelan Cole,JAC,WR,10,76.62,
76,Trey Quinn,WAS,WR,10,76.6,
77,Rashard Higgins,CLE,WR,7,75.78,
78,Josh Doctson,WAS,WR,10,75.63,
79,Jaron Brown,SEA,WR,11,75.46,
