Rank,Name,Team,Position,Bye,Point Prediction
1,Buffalo,BUF,DST,6,91.07000000000001
2,Chicago,CHI,DST,6,85.92999999999999
3,Baltimore,BAL,DST,8,85.75
4,Houston,HOU,DST,10,71.5
5,Minnesota,MIN,DST,12,69.01
6,Denver,DEN,DST,10,68.37
7,Los Angeles R,LAR,DST,9,68.08
8,Jacksonville,JAC,DST,10,64.98000000000002
9,New Orleans,NO,DST,9,63.190000000000005
10,Indianapolis,IND,DST,6,62.129999999999995
11,New England,NE,DST,10,60.129999999999995
12,Seattle,SEA,DST,11,59.11
13,Miami,MIA,DST,5,57.74999999999999
14,Dallas,DAL,DST,8,57.72
15,Washington,WAS,DST,10,56.45
16,Los Angeles C,LAC,DST,12,56.24
17,Cleveland,CLE,DST,7,55.48
18,Carolina,CAR,DST,7,51.9
19,Pittsburgh,PIT,DST,7,49.66
20,Tennessee,TEN,DST,11,48.69000000000001
21,Philadelphia,PHI,DST,10,47.41
22,New York G,NYG,DST,11,45.38
23,Detroit,DET,DST,5,43.8
24,Arizona,ARI,DST,12,41.040000000000006
25,New York J,NYJ,DST,4,39.66
26,Atlanta,ATL,DST,9,39.55
27,Kansas City,KC,DST,12,37.44
28,Green Bay,GB,DST,11,36.04
29,Tampa Bay,TB,DST,7,28.380000000000003
30,Oakland,OAK,DST,6,22.53
31,San Francisco,SF,DST,4,19.049999999999997
32,Cincinnati,CIN,DST,9,-0.21999999999999886
